项目ID,项目编号,项目名称,项目金额,业务模式,业务条线,租赁模式,项目状态,客户ID,客户名称,客户经理ID,客户经理名称,部门ID,部门名称,机构ID,机构名称,项目资金用途,国家,省份,市,地区,详细地址,项目第一偿还来源,项目第二偿还来源,租赁物描述,争议解决方式,数据版本,创建人,创建时间,最后修改人,最后修改时间,单据来源主键,单据来源类型,出租人机构ID,业务单据类型,总裁审批状态,是否上预审会,是否上审决会,删除标识,审批结束时间,总裁审批通过时间,决策有效期,全投资内部收益率,租赁利率,调整方式,保证金比例及收取方式,手续费比例及收取方式,租金支付方式,审决会投票委员,项目来源,客户initId,项目初始化id,业务变更版本号,业务属性,业务类型,租赁物类型,项目资金类型,业务条线类型
60dde7e4-301a-4b4c-904c-8b344faca95c,XM2024090006,三门峡陕峡新能源科技有限公司风电100MW项目,500000000.0,普通融资租赁,风力发电,直租,PASS,1a65992b-db91-42c1-b91b-688fd6b53fb4,三门峡陕峡新能源科技有限公司,102665,杨洋,yls_kflj7000083a4f,业务三部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,购置风电电站的发电设备和配套设施及构筑物,156.0,河南省,三门峡市,陕州区,河南省三门峡市宫前乡,电费收入,三门峡汇华新能源科技有限公司提供担保,风电电站的发电设备和配套设施及构筑物,litigation,47,103074,2024-09-29 15:57:47,103014,2024-11-25 14:52:32,bb81dd00-383f-4d4c-b0fb-ec5ad5a0cd41,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,1.0,1.0,0,2024/11/25 14:52:31,2024/11/13,1,0.0551,参照2024年08月20日央行五年期LPR3.85%利率加点值135.00BP，即5.20%。,固定利率,无,1）比例：1%；2）收取方式：以每一笔投放资金为基数的1%收取,季度还款，共计60期。宽限期2年，宽限期内仅还利息，自第9期开始至第60期按照等额本息方式计算租金。固定利率，宽限期按照2024年8月20日公布的五年期LPR加点55bp，即租赁利率为4.4%；运营期2024年8月20日公布的五年期LPR加点161bp，即租赁利率5.47%,"[""103049"", ""102683"", ""102929"", ""c72d2b1a-3f58-4920-9d00-39827c42dfdb"", ""102569"", ""102791"", ""103075""]",,60dc465d-f910-4046-92c7-c0f509264273,c8718620-e890-47ae-9a5c-432aa4d386e2,1.0,市场化,常规融资租赁,风电设备,设备采购,风电
626e1cf1-3a28-4bd8-a145-bfb734beb5e8,XM2025040001,苏家屯5MW分散式风电项目,27500000.0,普通融资租赁,风力发电,直租,PASS,e807a8f5-5854-4eab-a5c2-c0f72c891b3d,辽阳驭风新能源有限公司,daeddafd-a7a7-485f-9c97-f7f8dbf6f5cc,刘墨雨,yls_kflj70000m9trw,能源业务四部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,用于项目建设,156.0,辽宁省,沈阳市,苏家屯区,,电费收入,保证担保,风力发电设备及其附属设施,compulsoryNotarization,29,daeddafd-a7a7-485f-9c97-f7f8dbf6f5cc,2025-04-02 10:23:04,102870,2025-04-25 11:26:29,28f3a7b7-eb10-4571-8e07-d447ce80b7cb,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2025/04/25 11:26:29,2025/04/24,1,0.052,参照2025年03月20日央行五年期LPR3.60%利率加点值100.00BP，即4.60%。,浮动利率,无,每笔收取1%手续费，下款后三日内支付,宽限期一年，季付，季后付,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""103010""]",,beec4d20-738e-4e20-bfab-eb07bfad9183,9d7eae28-ecce-4c50-9a28-47ac6f19091c,1.0,市场化,常规融资租赁,风电设备,项目建设,风电
648ced9f-13fb-44db-bbd6-004a0ec7cdd3,XM2025060003,内蒙阿荣旗万昌10MW风电直租项目,60000000.0,普通融资租赁,风力发电,直租,PASS,489447af-d165-432e-a186-b84d728aaa4c,阿荣旗电投惠风新能源有限公司,3e32a5f7-5701-482b-bd8a-fe2b767c5c18,赵昱乾,yls_kflj700009itts,能源业务一部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,主要用途为EPC总包方项目建设用款，包括设备采购及建设工程款等。,156.0,内蒙古自治区,呼伦贝尔市,阿荣旗,,电站发电收益,电站发电收益,风机设备及基础,litigation,40,102557,2025-06-05 14:24:53,102573,2025-10-20 13:47:36,cbeb0ee7-c0e7-4de1-984c-fa190b01255b,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2025/06/19 17:10:49,2025/06/19,1,0.076,参照2025年05月20日央行五年期LPR3.50%利率加点值130.00BP，即4.80%。,浮动利率,0,租赁本金的1%；一次性收取,"3、租赁本金及模式：6000 万元，直租（动产占租赁本金80%，不动产占租赁本金20%）。项目总投 7500 万元，单瓦造价 7.5 元，融资比例 80%。
4、租赁期限：10年
5、租赁利率：按2025年5月20日央行五年期LPR3.5%上浮130BP，利率4.8%；浮动利率，按我司制度进行利率调整。
6、手续费：租赁本金的1% ，合计  60万元，按放款金额等比例收取。
7、固定保证金：无
8、综合收益率IRR=5.08%
9、还款方式：等额本息，季后付，宽限期只还息不还本","[""102544"", ""102929"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""103010"", ""102977""]",,fc2727b2-1fe1-4d02-893e-b4bad858d048,fcbc5b99-f2d9-4e90-8621-d6a5628cf81d,1.0,市场化,常规融资租赁,风电设备,EPC款项,风电
66184545-e554-41cc-bbb5-a5c8b10aa53a,XM2024120006,邵阳同乐坪50MW风电项目,447400000.0,普通融资租赁,风力发电,直租+回租,PASS,bf629011-95f2-4e52-a4b9-8d3ec9d0899a,邵东旺诚新能源有限责任公司,102845,张蕾,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,支付建设本项目的设备、设施采购及施工款,156.0,湖南省,邵阳市,邵东县,,发电收益,股东借款,风力发电设备及不动产,litigation,14,102845,2024-12-06 12:57:02,102870,2024-12-20 13:04:10,6a34fce5-787b-42b9-aa21-a9b9dcc611e4,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/12/20 13:04:10,2024/12/20,1,0.0508,参照2024年11月20日央行五年期LPR3.60%利率加点值-10.00BP，即3.50%。,浮动利率,无,租赁本金2%,宽限期内只还息不还本，宽限期结束等额本息，季末付,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",,67bc1ef8-0f5f-4141-bd0f-1c7fdb7258e6,9705b10f-b7db-4346-abe2-17188941538c,1.0,服务三一集团,常规融资租赁,风电设备,设备采购,风电
67719f8c-50ff-461c-b61e-dfa15c7ca616,XM2025020002,深圳华建首批0.575MW1.15MWh用户侧储能项目,1092500.0,普通融资租赁,储能业务,直租,PASS,ec4a1d76-50e6-4245-9101-1f33b632cfb5,东莞市绿电荷储新能源有限公司,102537,钱奔,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,用户侧储能项目建设,156.0,广东省,深圳市,宝安区,,绿电项目节能收益,深圳华建担保,工商业储能设备及基础设施,litigation,28,102537,2025-02-07 13:58:06,103014,2025-02-26 09:39:13,afb047a9-2bc3-4203-a875-c5e06724fd11,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,0.0,1.0,0,2025/02/26 09:39:13,2025/02/25,1,0.0805,参照2025年01月20日央行五年期LPR3.60%利率加点值125.00BP，即4.85%。,固定利率,无保证金,按照融资本金的0.5%收取手续费，在放款后当年一次性收取,季付，等额本息，第一期宽限,"[""c72d2b1a-3f58-4920-9d00-39827c42dfdb"", ""102562"", ""102569"", ""102791"", ""103075""]",,6b62d1d1-8251-4bc4-98b4-16fcc44d97b3,966aabb0-71de-4e7a-add0-313bce148126,1.0,服务国电投集团,常规融资租赁,储能设备,项目建设,储能
697f827d-0209-4b81-99ef-2002fe9ba191,XM2024120011,蓝山县四圭田50MW风电场回租项目,316330000.0,普通融资租赁,风力发电,回租,PASS,33ecb53a-4aed-4d9a-af2f-06c961ba97e4,蓝山县四圭田新能源开发有限公司,422ebd79-9ba1-4dcc-b3e5-b280d0601c88,马志平,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,风电项目建设,156.0,湖南省,永州市,蓝山县,湖南省永州市蓝山县塔峰镇月形岭村,项目发电收益,无,风电项目及附属设备,litigation,28,422ebd79-9ba1-4dcc-b3e5-b280d0601c88,2024-12-19 12:02:14,102870,2024-12-26 13:36:47,a31f4a4b-33ea-43e3-a671-ad01a2a5b1da,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/12/26 13:36:46,2024/12/26,1,0.0586,参照2024年11月20日央行五年期LPR3.60%利率加点值-10.00BP，即3.50%。,浮动利率,0,2,前24个月：其中宽限期12个月，宽限期只还息不还本，宽限期后不规则还本，最后一期支付全部本金，季付，季后付；,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",INTRA_GROUP_RECOMMEND,84baef04-3649-4653-b32b-640774a4cee0,274cf636-cc74-446d-84e1-fc7d5c226750,1.0,服务三一集团,常规融资租赁,风电设备,项目建设,风电
74f1c29d-e8c2-43ad-858e-67291f738eb9,XM2024090004,绍兴博利豪家纺0.46MW/1.916MWh用户侧储能项目,1282400.0,普通融资租赁,储能业务,直租,PASS,371d9e70-e474-4c09-96a2-3f35c0865857,绍兴绿荷新能源有限公司,102537,钱奔,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,购置储能设备及其附属设施,156.0,浙江省,绍兴市,越城区,,电费,担保人担保,储能设备及其附属设施,litigation,17,103074,2024-09-24 16:40:35,103014,2024-09-29 15:05:51,b2c08f5d-19d5-4492-a081-e7f31b592f5e,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2024/09/29 15:05:50,,1,0.0516,参照2024年08月20日央行五年期LPR3.85%利率加点值100.00BP，即4.85%。,固定利率,无,1）比例：5‰；2）收取方式：2024年12月20日一次性收取,按等额本息计息，季度还款，期末20日收取。宽限期1个季度，宽限期内只还息不还本，宽限期结束后正常还款。,,,3100d815-1c9c-42e7-8d94-666f429213d7,52005e8f-ccba-442c-8397-2406fcc77d45,1.0,市场化,常规融资租赁,储能设备,设备采购,储能
7843f2f5-ac5d-45c3-9aa2-8e371eefea50,XM2022110003,国电投徽苏美达阳光54.51MW分布式光伏回租通道业务,277970000.0,普通融资租赁,光伏发电,回租,PASS,7ce5b801-ffeb-4193-ba54-a2a53e52b015,合肥苏美达阳光发电有限公司,102596,刘远洋,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,用于支付光伏电站的设备采购款、施工总包款。,156.0,安徽省,合肥市,市辖区,,电站发电收入,电站发电收入,苏美达阳光54.51MW分布式光伏电站能源设备,litigation,18,102652,2022-11-18 11:34:13,102870,2022-11-24 11:04:51,bb6ccfef-284a-4ad7-89b0-661d630b3605,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2022/11/24 11:04:50,2022/11/24,1,0.035,参照2022年10月20日央行5年期以上LPR为4.65%下浮155BP，即3.1%,浮动利率,不收取,我司总计2890888元下款前一次性收取，保理银行通过我司代收代付手续费625.7万（保理手续费最终以银行批复为准）。,按季度等额本息支付租金，期末20号支付（最终以银行批复为准）。,"[""103030"", ""102542"", ""103029"", ""102544"", ""102644"", ""102929"", ""102622"", ""102976"", ""103010""]",INTRA_GROUP_RECOMMEND,6b9ffa2f-85b6-4437-a45c-0256daa7f9fe,8f2e8fd7-4a63-45e2-9d79-d654b64b3a7c,1.0,未知,未知,光伏设备,设备采购,光伏
7a9c6dcb-8498-4c5b-985a-2129968c8bef,XM2025010001,摩比斯4MWh用户侧储能项目,1194893.17,普通融资租赁,储能业务,直租,PASS,77418533-c9d1-4c20-aecc-80e13777a8b4,无锡荷储新能源有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,用于不动产的建设,156.0,江苏省,无锡市,市辖区,,设备盈利收入,担保方垫付,储能设备的基础设备及其配件,litigation,26,02a7f4e5-f6e5-418d-b01c-b98860453e17,2025-01-15 16:37:16,103014,2025-01-21 09:27:54,754081ee-f71c-4ac5-90ea-ca089e2ff987,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2025/01/21 09:27:54,,1,0.05,参照2024年12月20日央行五年期LPR3.60%利率加点值126.00BP，即4.86%。,固定利率,0,0.5%，一次性收取,租赁期限8年，季度支付，首期宽限期,,,23019bc9-a121-4e30-846f-cb837a6fa3b8,14512c5c-c346-4e53-b9b7-e6a933334079,1.0,服务国电投集团,常规融资租赁,储能设备,项目建设,储能
80cc6aff-e688-4f9b-a9a0-6c49c073bfd0,XM2024060002,湖南省郴州市桂阳县150MW烤烟房分布式光伏项目,409820000.0,普通融资租赁,光伏发电,直租+回租,PASS,4c1ee61a-18c7-4def-aed2-8f06c18588f9,桂阳鸿羿新能源科技有限公司,102610,王婳楠,yls_kflj70000m9trw,能源业务四部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,用于项目建设,156.0,湖南省,郴州市,桂阳县,,项目电费收费权,项目股权,发电设备及配套设施,litigation,3,102610,2025-06-04 13:35:33,102870,2025-06-10 11:09:00,1c94d7ed-29c9-485f-a549-d436dc30d219,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,0.0,0.0,0,2024/07/05 09:05:34,2024/11/24,1,0.0914,参照2024年05月20日央行五年期LPR3.95%利率加点值15.00BP，即4.10%。,固定利率,无,按4.1%（浮动利率，2024年5月20日贷款市场报价利率(LPR)为：5年期以上LPR为3.95%LPR，上浮15BP）,按4.1%，（浮动利率，2024年5月20日贷款市场报价利率(LPR)为：5年期以上LPR为3.95%LPR，上浮15BP）宽限期12个月，宽限期只还息不还本，宽限期后等额本金，季付，季后付,,,a7e88891-7de3-4196-9e2a-62876e4e4d17,a50a77fb-c033-4597-8a5b-4fe26d6418e1,5.0,市场化,常规融资租赁,其他设备,项目建设,光伏
87af915c-ed39-4c75-8ef2-55a80949fadc,XM2025120002,鄂尔多斯市谷山梁500MW/2000MWh独立储能项目,1500000000.0,普通融资租赁,储能业务,直租+回租,PASS,9b11fcf5-78b6-4dbc-b85a-2eaa0e5ae3e3,达拉特旗裕昭新能源有限公司,801de465-88f9-4ba7-b317-0bb6fd1d7f77,张启祯,256fcc7c-b990-407e-9422-14185e7d6b52,业务四部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,购买独立储能电站所需设备及支付项目建设款项。,156.0,内蒙古自治区,鄂尔多斯市,达拉特旗,内蒙古自治区鄂尔多斯市达拉特旗恩格贝镇乌兰村、蒲圪卜村。,独立储能电站现货交易充放电价差,0.35元/千瓦时补偿标准,独立储能设备、基础设施及不动产,litigation,31,801de465-88f9-4ba7-b317-0bb6fd1d7f77,2025-12-18 14:33:16,103014,2025-12-29 13:41:15,0196ae87-9e39-4671-9f07-d3467a866710,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,1.0,1.0,0,2025/12/29 13:41:14,2025/12/29,1,0.0669,参照2025年11月20日央行五年期LPR3.50%利率加点值110.00BP，即4.60%。,浮动利率,0%；不收取保证金,1%；收取租赁本金1%的手续费,按季计息，期末收取，宽限期6个月，宽限期内只还利息不还本金，宽限期后按照等额本息进行还款。,"[""103049"", ""cc3b502b-9e26-4aa7-be71-e4d1c7288e99"", ""102929"", ""102653"", ""102569"", ""102791"", ""103010""]",NEW_MARKET_DEVELOP,f7db5f39-4769-45eb-949e-c8b53b3fee80,da79a319-3806-4b44-babc-93b6977628f4,1.0,市场化,常规融资租赁,储能设备,设备采购,储能
8a91b188-820b-429b-9bc8-120a167939e0,XM2025030008,辽宁省灯塔市铧子镇5MW分散式风电项目,27500000.0,普通融资租赁,风力发电,直租,PASS,9a4565a0-4c9a-471c-806b-cc71f3b235a8,辽阳驭风新能源有限公司,daeddafd-a7a7-485f-9c97-f7f8dbf6f5cc,刘墨雨,yls_kflj70000m9trw,能源业务四部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,用于项目建设,156.0,辽宁省,辽阳市,灯塔市,,电费收入,保证担保,风力发电设备及其附属设施,compulsoryNotarization,36,daeddafd-a7a7-485f-9c97-f7f8dbf6f5cc,2025-03-28 15:26:15,102870,2025-04-25 11:26:39,8a3bc8f5-e8a9-4a9a-a49d-daf8fe688ace,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2025/04/25 11:26:38,2025/04/24,1,0.055,参照2025年03月20日央行五年期LPR3.60%利率加点值100.00BP，即4.60%。,浮动利率,无,手续费1%，下款3日内收取,宽限期1年，季付，季后付,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""103010""]",,beec4d20-738e-4e20-bfab-eb07bfad9183,5884ddd9-2c78-4ee3-9bf2-fb9e267ae361,1.0,市场化,常规融资租赁,风电设备,项目建设,风电
8d7d3b87-4bf7-454d-986e-751d43e90643,XM2024120002,浑源县王庄堡镇50MW分散式风电项目直租,275000000.0,普通融资租赁,风力发电,直租,PASS,3a6b696b-7226-4423-a90a-65f4fd4c4c8c,浑源县亿诚新能源有限公司,422ebd79-9ba1-4dcc-b3e5-b280d0601c88,马志平,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,风电项目建设,156.0,山西省,大同市,浑源县,山西省大同市浑源县王庄堡镇,电费收益,无,风电项目设备,litigation,27,422ebd79-9ba1-4dcc-b3e5-b280d0601c88,2024-12-05 09:46:27,102870,2024-12-09 14:52:20,31f1ba45-0d62-4f6d-b041-10d6c1b5a0fb,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/12/09 14:52:20,2024/12/09,1,0.0537,参照2024年11月20日央行五年期LPR3.60%利率加点值100.00BP，即4.60%。,浮动利率,0,1%，每笔投放后三个工作日内支付,按4.6%利率，期末20号收取，宽限期2年，宽限期内只还息不还本，宽限期结束后13年。,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",NEW_MARKET_DEVELOP,d481fe9e-a3c8-460c-9e8d-2f7f42097850,b2afa29c-8627-40bd-bda9-0367e5aa7b2f,1.0,市场化,自主开发类,风电设备,项目建设,风电
8ddbf08f-c2ac-4380-bafa-02b4fb0803cc,XM2024090005,绍兴志昇纺织0.69MW/1.374MWh用户侧储能项目,1924100.0,普通融资租赁,储能业务,直租,PASS,0219f89b-e885-41df-acf4-eefbb756ac20,绍兴绿荷新能源有限公司,102537,钱奔,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,购置储能设备及其附属设施,156.0,浙江省,绍兴市,越城区,,电费,担保人担保,储能设备及其附属设施,litigation,20,103074,2024-09-24 16:49:31,102538,2025-06-25 15:23:30,d6efba1f-f445-40fb-a0e1-bd33f931e86d,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2024/09/29 15:06:48,,1,0.0516,参照2024年08月20日央行五年期LPR3.85%利率加点值100.00BP，即4.85%。,固定利率,无,1）比例：5‰；2）收取方式：2024年12月20日一次性收取,按等额本息计息，季度还款，期末20日收取。宽限期1个季度，宽限期内只还息不还本，宽限期结束后正常还款。,,,3100d815-1c9c-42e7-8d94-666f429213d7,2b9c016f-4678-4499-9832-a9fbd9b1d325,1.0,市场化,常规融资租赁,储能设备,设备采购,储能
9095beb2-f08e-4125-8b8d-87f8a8e6c870,XM2025060008,内蒙古包头石拐100MW/400MWh独立储,80000000.0,普通融资租赁,储能业务,回租,PASS,71419e1d-25e6-4c7f-9053-700480c32e3b,土默特右旗协鑫储能能源科技有限公司,102625,和玉姗,yls_kflj70000m9tqt,业务二部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,购买储能电站设备,156.0,内蒙古自治区,包头市,石拐区,,现货交易及容量补偿收入,： 项目出售转让款,储能系统,litigation,153,102625,2025-06-24 09:53:44,000,2026-04-21 01:00:47,96d4b844-3c45-4f48-b560-0445ac7b9388,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,0.0,1.0,0,2025/06/25 13:43:45,2025/06/25,0,0.056,参照2025年06月20日央行五年期LPR3.50%利率加点值110.00BP，即4.60%。,固定利率,不收取,放款额1%，一次性收取,宽限期第一期收取固定利息10万元，第二期收取剩余全部利息，按实际天数计息。,"[""103049"", ""102929"", ""c72d2b1a-3f58-4920-9d00-39827c42dfdb"", ""102569"", ""102791"", ""103075"", ""103010""]",STOCK_CUST_ADD,b1d30e5e-4f92-4986-941a-7dfe50f6a179,f59e31b5-d53c-4dbf-9141-7735ae8fa29a,1.0,市场化,常规融资租赁,储能设备,设备采购,储能
9220eafc-dd34-4553-9f4c-4b1876dbd51c,XM2025020001,浙江衢州衢江区莲花镇40MWp农光互补电站项目,173000000.0,普通融资租赁,光伏发电,直租+回租,PASS,23ca66c3-5881-44d6-9b68-94236fa61c5b,衢州宏升新能源科技有限公司,102684,蔡佳,yls_kflj70000m9tqt,业务二部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,光伏电站的发电设备及配套设施,156.0,浙江省,衢州市,衢江区,,光伏电站的发电收益,光伏电站的发电收益,光伏电站的发电设备及配套设施,litigation,3,102684,2025-06-25 12:39:14,103014,2025-06-25 15:57:15,7ff31c24-f307-42c0-863b-7f09975676f1,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,0.0,0.0,0,2025/02/24 14:35:09,2025/02/24,1,0.04,参照2025年01月20日央行五年期LPR3.60%利率加点值40.00BP，即4.00%。,固定利率,无,0.5%，以每一笔投放资金为基数收取0.5%，于下款后三日内收取。,宽限期12个月，宽限期只还息不还本，宽限期后等额本息，季付，季后付；,,,66d03503-4829-4829-b58e-f591d0b4e8ff,c3e3956e-dee7-4015-a811-938b58af1d6a,2.0,市场化,常规融资租赁,光伏设备,其他,光伏
9256fddd-9899-4e86-baae-81a24cf97971,XM2025100001,大宁驭风行动50MW风电项目,200000000.0,普通融资租赁,风力发电,直租,PASS,bcf6f07f-232f-4f26-ae85-cdd1aa71637d,大宁县汇能风电有限公司,102845,张蕾,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,支付本项目的设备、设施采购及施工款,156.0,山西省,临汾市,大宁县,,发电收益,股东借款,风力发电设备及不动产,litigation,26,102845,2025-10-22 13:29:55,102870,2025-11-03 09:03:39,c0356d8c-4830-4828-aecc-2b8c42de3ade,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2025/11/03 09:03:39,2025/11/02,1,0.0483,参照2025年10月20日央行五年期LPR3.50%利率加点值120.00BP，即4.70%。,浮动利率,无,租赁本金0.5%,宽限期内只还息不还本，宽限期结束等额本息，季末付,"[""102544"", ""102929"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""103010"", ""102977""]",,c38c2883-19de-43b6-bff5-257a9c6d3504,4da981cf-ef93-4db7-98ad-c492fcb18edb,1.0,市场化,常规融资租赁,风电设备,设备采购,风电
92eefea2-4d13-4ced-8964-b8629ae46b66,XM2025100002,芜湖市富鑫钢铁有限公司51.6MW/100.3MWh用户侧储能项目,85255000.0,普通融资租赁,储能业务,直租,PASS,a9cfdaa8-272c-41e8-8349-9cdc0520584c,芜湖荷储新能源科技有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,用于支付储能设备及项目建设款项,156.0,安徽省,芜湖市,繁昌县,安徽省芜湖市繁昌区新港镇新东村,储能售电收益,股东担保差额垫付,储能设备及其附属设施建设,litigation,33,02a7f4e5-f6e5-418d-b01c-b98860453e17,2025-10-24 14:34:07,103014,2025-11-04 14:06:37,b3ed69fc-3929-44c4-8df5-57e4bd2248a6,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,0.0,1.0,0,2025/11/04 14:06:36,2025/11/04,1,0.079,参照2025年10月20日央行五年期LPR3.50%利率加点值135.00BP，即4.85%。,固定利率,下款后3个工作日内向我司支付投放金额20%履约保证金，特殊约定项目公司完成股转后前述所收保证金将一次性退还，且后续的投放不再收取保证金,租赁本金的0.5%（自投放之日起顺延6个月的25日收取手续费（如遇节假日则需要提前支付），当年投放业务最迟不超过12月25日前收取）,等额本息、季付、后付，前两期设置宽限期的还款方式（第一期不还本息，第二期还息不还本，第一期利息在第二期付息时一并收取）,"[""103049"", ""102929"", ""102653"", ""102569"", ""102791"", ""103075"", ""103010""]",,f772bc7e-1e98-4668-bfee-1a9ca795db5a,6829c453-6e83-415d-9f3e-afc54d6f140a,1.0,市场化,常规融资租赁,储能设备,项目建设,储能
93ab5c93-4e4a-4d2b-be19-397379939261,XM2022090088,衢州江河40MW户用光伏直租+回租项目,160000000.0,普通融资租赁,光伏发电,直租+回租,PASS,bd27d520-c0d8-4814-aa7c-b4e3b393d2cf,衢州市衢江区江禾新能源科技有限公司,102632,李艳茹,yls_kflj70000k323e,能源业务二部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,EPC总包方项目建设用款，包括设备采购及建设工程款等。,156.0,浙江省,衢州市,衢江区,,电站发电收益,电站发电收益,分布式光伏设备及其配套设施,litigation,19,102557,2022-09-23 17:19:43,103027,2023-01-12 19:52:19,20cfd3f1-ea2c-4776-857f-b11bf65884c3,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2022/10/21 11:32:21,2022/10/20,1,0.0528,参照2022年08月22日央行一年期LPR4.4000%利率加点值75.00BP,固定利率,无,租赁本金的1%，合计160万元，下款前按放款金额的1%一次性收取。,只还息不还本，最后一期一次性还本,"[""103030"", ""102542"", ""103029"", ""102670"", ""102644"", ""102929"", ""102622"", ""102976"", ""103010""]",,yls_kflj70000r8sj4,45d6b945-9451-4a9a-876b-01cd7aefccc7,1.0,服务国电投集团,未知,光伏设备,EPC款项,光伏
